fuente,grupo_fuente,formato,ruta,existe,legible,registros,columnas,tipo_geometria,cobertura_nominal_inicio,cobertura_nominal_fin,cobertura_observada_inicio,cobertura_observada_fin,granularidad_temporal_fuente,granularidad_temporal_observada,campo_temporal_usado,observacion
2025_Incendios_forestales,csv_evento,csv,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\2025_Incendios_forestales.csv,si,no,,,,2025-01-01,2025-12-31,,,por_evento,,,"too many values to unpack (expected 3, got 4)"
estadisticasIncendiosForestales2015-2024,excel_evento,xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\estadisticasIncendiosForestales2015-2024.xlsx,si,no,,,,2015-01-01,2024-12-31,,,por_evento,,,"too many values to unpack (expected 3, got 4)"
Historico_IncendiosForestales_1970-2024,historico_agregado_1970_2024,xlsx,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\Historico_IncendiosForestales_1970-2024.xlsx,si,no,,,,1970-01-01,2024-12-31,,,agregado_anual,,,"too many values to unpack (expected 3, got 4)"
historico_incendios_activos_2001-2025,historico_shp_evento_multianual,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\historico_incendios_2001-2025\historico_incendios_activos_2001-2025.shp,si,si,127333.0,31.0,Point,2001-01-01,2025-12-31,2005-01-01,2026-03-12,por_evento,fecha,f_inicio,
incendios_2010,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2010\incendios_2010.shp,si,si,311.0,23.0,Polygon,2010-01-01,2010-12-31,2010-01-18,2010-12-30,por_evento,fecha,fechainic,
incendios_2011,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2011\incendios_2011.shp,si,si,343.0,22.0,"Polygon, MultiPolygon",2011-01-01,2011-12-31,2011-01-01,2011-11-02,por_evento,fecha,fechainic,
incendios_2012,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2012\incendios_2012.shp,si,si,224.0,24.0,"Polygon, MultiPolygon",2012-01-01,2012-12-31,2012-01-02,2012-08-05,por_evento,fecha,fechainic,
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,si,si,552.0,23.0,"Polygon, MultiPolygon",2013-01-01,2013-12-31,2013-01-01,2013-07-25,por_evento,fecha,fechainic,
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,si,si,628.0,23.0,"Polygon, MultiPolygon",2014-01-01,2014-12-31,2014-01-16,2014-08-29,por_evento,fecha,fechainic,
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,si,si,1105.0,24.0,"Polygon, MultiPolygon",2015-01-01,2015-12-31,2015-01-01,2015-11-25,por_evento,fecha,fechainic,
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,si,si,3244.0,23.0,"Polygon, MultiPolygon",2016-01-01,2016-12-31,2015-12-31,2016-10-20,por_evento,fecha,fechainic,
incendios_2017,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2017\incendios_2017.shp,si,si,4545.0,23.0,"Polygon, MultiPolygon",2017-01-01,2017-12-31,2016-12-27,2017-12-30,por_evento,fecha,fechainic,
incendios_2018,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2018\incendios_2018.shp,si,si,3416.0,23.0,"Polygon, MultiPolygon",2018-01-01,2018-12-31,2018-01-01,2018-11-16,por_evento,fecha,fechainic,
incendios_2019,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2019\incendios_2019.shp,si,si,4265.0,23.0,"Polygon, MultiPolygon",2019-01-01,2019-12-31,2019-01-01,2019-12-26,por_evento,fecha,fechainic,
incendios_2020,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2020\incendios_2020.shp,si,si,5778.0,21.0,"Polygon, MultiPolygon",2020-01-01,2020-12-31,2020-01-01,2020-12-31,por_evento,fecha,fechainic,
incendios_2021,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2021\incendios_2021.shp,si,si,7272.0,21.0,"Polygon, MultiPolygon",2021-01-01,2021-12-31,2020-12-31,2021-12-31,por_evento,fecha,fechainic,
incendios_2022,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2022\incendios_2022.shp,si,si,6718.0,16.0,"Polygon, MultiPolygon",2022-01-01,2022-12-31,2020-02-21,2022-12-30,por_evento,fecha,fechainic,
incendios_2023,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2023\incendios_2023.shp,si,si,7513.0,16.0,"Polygon, MultiPolygon",2023-01-01,2023-12-31,2023-01-01,2023-12-31,por_evento,fecha,fechainic,
