component_number,component,explained_variance_pct,cumulative_variance_pct,eigenvalue,selected_for_clustering
1,PC1,18.089824041799066,18.089824041799066,11.758386782132078,True
2,PC2,10.285425867910918,28.375249909709986,6.685527470825274,True
3,PC3,8.57186725965603,36.94711716936601,5.5717142660557535,True
4,PC4,7.3241874543151395,44.271304623681154,4.760722312924825,True
5,PC5,4.692539578725261,48.96384420240641,3.050151025771245,True
6,PC6,3.9395647247811945,52.90340892718761,2.5607173226331787,True
7,PC7,3.544941758232879,56.44835068542049,2.30421236918168,True
8,PC8,3.3697513314943457,59.81810201691483,2.1903385806164275,True
9,PC9,2.543068531820382,62.36117054873521,1.6529947080479712,True
10,PC10,2.426121141356673,64.78729169009189,1.5769788967799383,True
11,PC11,1.9925241061437315,66.77981579623562,1.2951407962080954,True
12,PC12,1.9606446575209648,68.74046045375658,1.2744191525679225,True
13,PC13,1.9051989763756776,70.64565943013226,1.2383794562835015,True
14,PC14,1.734131242258817,72.37979067239108,1.1271854181855536,True
15,PC15,1.6715761404736615,74.05136681286474,1.0865245980313103,True
16,PC16,1.6559958920121691,75.70736270487691,1.076397435536604,True
17,PC17,1.571650020338735,77.27901272521565,1.021572613563726,True
18,PC18,1.5335247874010278,78.81253751261667,0.9967912097200732,True
19,PC19,1.4784648652629102,80.29100237787958,0.9610022568149416,True
20,PC20,1.3749998784003203,81.6660022562799,0.8937500087484339,True
21,PC21,1.3251250520836628,82.99112730836356,0.8613313684582989,True
22,PC22,1.3021523165077835,84.29327962487136,0.8463990888672605,True
23,PC23,1.201851272533438,85.49513089740479,0.7812034038801167,True
24,PC24,1.1632886679838754,86.65841956538867,0.7561377084608334,True
25,PC25,1.0594145249534634,87.71783409034212,0.6886195088591184,True
26,PC26,0.9933804518777476,88.71121454221988,0.6456973571438923,True
27,PC27,0.9171662078710572,89.62838075009093,0.59615809367357,True
28,PC28,0.8835286155183394,90.51190936560928,0.5742936564966779,True
