cluster_kmeans,cve_ent,nom_ent,n_observaciones,pct_dentro_cluster
1,7,Chiapas,9131,0.1255223798526339
1,12,Guerrero,9131,0.1255223798526339
1,17,Morelos,9131,0.1255223798526339
1,20,Oaxaca,9131,0.1255223798526339
1,15,México,9130,0.12550863301440668
1,21,Puebla,9130,0.12550863301440668
1,30,Veracruz de Ignacio de la Llave,9130,0.12550863301440668
1,16,Michoacán de Ocampo,8556,0.11761794787198944
1,14,Jalisco,179,0.002460684042670186
1,18,Nayarit,49,0.0006735950731331793
1,10,Durango,16,0.00021994941163532388
1,19,Nuevo León,12,0.0001649620587264929
1,8,Chihuahua,4,5.498735290883097e-05
1,24,San Luis Potosí,4,5.498735290883097e-05
1,2,Baja California,3,4.1240514681623226e-05
1,11,Guanajuato,2,2.7493676454415485e-05
1,28,Tamaulipas,2,2.7493676454415485e-05
1,13,Hidalgo,1,1.3746838227207743e-05
1,26,Sonora,1,1.3746838227207743e-05
1,32,Zacatecas,1,1.3746838227207743e-05
2,11,Guanajuato,9129,0.14332590196878828
2,28,Tamaulipas,9129,0.14332590196878828
2,24,San Luis Potosí,9127,0.14329450183690773
2,32,Zacatecas,9127,0.14329450183690773
2,10,Durango,9115,0.14310610104562438
2,19,Nuevo León,9115,0.14310610104562438
2,14,Jalisco,8952,0.14054699029735926
3,1,Aguascalientes,9131,0.24675043912984732
3,25,Sinaloa,9131,0.24675043912984732
3,6,Colima,9127,0.24664234562896906
3,18,Nayarit,9041,0.24431833536008649
3,16,Michoacán de Ocampo,575,0.01553844075124983
4,3,Baja California Sur,9131,0.33317521710574327
4,26,Sonora,9130,0.3331387287455302
4,2,Baja California,9128,0.33306575202510397
4,8,Chihuahua,6,0.00021893016127855214
4,19,Nuevo León,4,0.00014595344085236808
4,32,Zacatecas,3,0.00010946508063927607
4,5,Coahuila de Zaragoza,1,3.648836021309202e-05
4,15,México,1,3.648836021309202e-05
4,21,Puebla,1,3.648836021309202e-05
4,29,Tlaxcala,1,3.648836021309202e-05
5,23,Quintana Roo,9131,0.3333333333333333
5,31,Yucatán,9131,0.3333333333333333
5,4,Campeche,9130,0.3332968276567006
5,30,Veracruz de Ignacio de la Llave,1,3.6505676632716386e-05
6,22,Querétaro,9131,0.5000273807568041
6,13,Hidalgo,9130,0.49997261924319586
7,9,Ciudad de México,9131,0.5000273807568041
7,29,Tlaxcala,9130,0.49997261924319586
8,5,Coahuila de Zaragoza,9130,0.5002465618322284
8,8,Chihuahua,9121,0.4997534381677716
9,27,Tabasco,9131,1.0
