cluster_kmeans,mes,n_observaciones,total_cluster,pct_dentro_cluster
1,5,217290,2215258,0.09808789766248446
1,3,207732,2215258,0.09377327606987539
1,4,204632,2215258,0.09237389053554936
1,7,196822,2215258,0.08884834181842476
1,8,193799,2215258,0.08748371521511264
1,6,188264,2215258,0.08498513491430795
1,10,178170,2215258,0.08042855504866701
1,9,177785,2215258,0.0802547603935975
1,1,176015,2215258,0.07945575639496619
1,12,160494,2215258,0.07244934901487772
1,2,158545,2215258,0.0715695417870063
1,11,155710,2215258,0.07028978114513072
2,12,210937,2143076,0.09842721396721348
2,11,200012,2143076,0.09332940129048153
2,5,197234,2143076,0.09203313368261322
2,4,189190,2143076,0.0882796503717087
2,10,186983,2143076,0.08724982221815746
2,6,178399,2143076,0.08324436464222454
2,8,174589,2143076,0.0814665462167464
2,9,174434,2143076,0.08139422027030306
2,3,173174,2143076,0.08080628031857014
2,7,166519,2143076,0.07770093081159977
2,2,153981,2143076,0.07185046167284781
2,1,137624,2143076,0.0642179745375339
3,1,234613,1779448,0.13184594323632948
3,2,183348,1779448,0.1030364472578013
3,3,162850,1779448,0.09151714464260827
3,5,144098,1779448,0.08097904518704677
3,4,143488,1779448,0.08063624225040575
3,7,135005,1779448,0.07586903354298637
3,6,132677,1779448,0.07456076266347766
3,12,130193,1779448,0.07316482414771322
3,8,129768,1779448,0.07292598603611906
3,10,128643,1779448,0.07229376750542865
3,9,127950,1779448,0.07190432089052336
3,11,126815,1779448,0.07126648263956013
4,1,139882,1514204,0.09237989068844092
4,3,139542,1514204,0.09215535026984475
4,4,134452,1514204,0.08879384812086086
4,5,130717,1514204,0.0863272055812823
4,2,129570,1514204,0.08556971187501816
4,7,125186,1514204,0.08267446130111927
4,12,122892,1514204,0.08115947388859097
4,6,120918,1514204,0.07985581863474142
4,8,120395,1514204,0.07951042263790084
4,10,117145,1514204,0.07736408040131977
4,11,116790,1514204,0.07712963378778553
4,9,116715,1514204,0.0770801028130952
5,5,148441,1410173,0.10526438954653082
5,6,136210,1410173,0.09659098564502369
5,8,132076,1410173,0.09365943043867667
5,7,130794,1410173,0.0927503221235976
5,4,130146,1410173,0.09229080403610053
5,10,124966,1410173,0.0886174958675283
5,9,122234,1410173,0.08668014491838945
5,11,114346,1410173,0.08108650498910418
5,3,110859,1410173,0.07861375873740314
5,12,109336,1410173,0.07753374940521482
5,2,80226,1410173,0.05689089211040064
5,1,70539,1410173,0.05002152218203015
6,1,62681,691830,0.09060173742104274
6,3,59953,691830,0.08665857219259067
6,10,59733,691830,0.08634057499674776
6,5,59198,691830,0.08556726363412977
6,11,57613,691830,0.08327623838226154
6,4,57577,691830,0.08322420247748724
6,2,57061,691830,0.08247835450905569
6,12,57048,691830,0.08245956376566498
6,8,56323,691830,0.08141161846118267
6,9,56113,691830,0.08110807568333261
6,7,55695,691830,0.08050388101123108
6,6,52835,691830,0.07636991746527326
7,5,63763,668685,0.09535581028436409
7,4,59603,668685,0.08913464486267825
7,3,58515,668685,0.08750757082931425
7,1,55774,668685,0.08340848082430442
7,7,55157,668685,0.08248577431825149
7,6,55069,668685,0.08235417274202353
7,10,54538,668685,0.0815600768672843
7,8,54432,668685,0.08140155678682788
7,12,54109,668685,0.08091851918317294
7,9,52821,668685,0.07899235065838175
7,11,52533,668685,0.07856165459072657
7,2,52371,668685,0.07831938805267054
8,1,32813,327007,0.10034341772500283
8,3,29886,327007,0.09139253899763614
8,5,29805,327007,0.09114483787808823
8,2,28430,327007,0.08694003492279982
8,4,28210,327007,0.08626726644995367
8,6,26721,327007,0.08171384710419043
8,7,26240,327007,0.08024293057946771
8,8,25688,327007,0.07855489332032647
8,10,25309,327007,0.07739589672392334
8,9,24891,327007,0.07611763662551566
8,12,24747,327007,0.07567727907965273
8,11,24267,327007,0.07420942059344296
9,5,19592,224258,0.08736366149702575
9,3,19299,224258,0.08605713062633218
9,7,19290,224258,0.0860169982787682
9,8,19236,224258,0.0857762041933844
9,1,19167,224258,0.08546852286206066
9,10,19115,224258,0.08523664707613553
9,6,18835,224258,0.08398808515192323
9,9,18734,224258,0.08353771102926094
9,4,18601,224258,0.0829446441152601
9,2,17621,224258,0.07857467738051709
9,12,17476,224258,0.07792810066976429
9,11,17292,224258,0.07710761711956764
10,1,10587,108145,0.09789634287299459
10,3,9721,108145,0.08988857552360258
10,12,9486,108145,0.08771556706273984
10,2,9356,108145,0.0865134772758796
10,5,9155,108145,0.08465486152850339
10,4,9031,108145,0.08350825280872902
10,11,8733,108145,0.0807526931434648
10,10,8667,108145,0.08014240140552037
10,6,8487,108145,0.07847796939294466
10,7,8425,108145,0.07790466503305747
10,8,8363,108145,0.07733136067317029
10,9,8134,108145,0.0752138332793934
11,5,6715,72137,0.09308676546016607
11,4,6571,72137,0.09109056378834718
11,3,6364,72137,0.08822102388510751
11,7,6029,72137,0.08357708249580659
11,1,5950,72137,0.08248194407862816
11,8,5939,72137,0.08232945645091978
11,6,5933,72137,0.08224628138126065
11,10,5851,72137,0.08110955542925267
11,9,5810,72137,0.08054119245324869
11,12,5803,72137,0.0804441548719797
11,2,5588,72137,0.0774637148758612
11,11,5584,72137,0.0774082648294218
