cluster_kmeans,n_observaciones,pct_observaciones,conafor_event_count,firms_count,firms_frp_sum,has_conafor_rate,has_firms_rate,has_smn_rate,municipio_area_km2,smn_precip_mm_mean,smn_temp_media_c
1,2215258,0.19860266351186695,0.014775600632971547,0.47149722515390985,6.256704036279296,0.010303088850147477,0.11781787945241592,0.9597812083287816,820.6063995091469,4.125967084967728,21.076294048285835
2,2143076,0.1921313913360691,0.01269191788981446,0.48704665630150307,6.308121937812749,0.009021145307025975,0.11638784625463586,0.9591521719248407,802.0273847146192,1.8593602236014823,21.244452101054247
3,1779448,0.15953135588760525,0.011528107701188256,0.6072815839518773,8.785223619909097,0.00812330565433775,0.12870676749194132,0.9359632874914018,574.3662381123866,2.707119710255945,20.047930608376195
4,1514204,0.1357516584977113,0.01007500947327047,0.249385155500844,3.596792024060167,0.007178689265118835,0.08228944052452641,0.9615923613991245,358.59145070685315,2.8259241503467205,18.678901380465312
5,1410173,0.12642505469454118,0.011617552460195,0.6636980001744467,8.388712902601313,0.008347911922863365,0.15761470401149363,0.961274255002755,1456.5232913695818,1.8065424309576263,23.005428375160328
6,691830,0.062024053495084955,0.019514360848331684,0.46578350172730293,6.09275226573002,0.01184684098694766,0.10289232904037118,0.966056690227368,976.8826833234991,2.814410042117216,20.88967359865585
7,668685,0.05994905426385222,0.031295557670441385,4.242172323291236,64.29969492361876,0.019074751190769942,0.23853832522039525,0.9584602615581328,5643.873538061841,1.8933837345116693,22.025108124343408
8,327007,0.029316883716038977,0.007964106240392605,0.7319843306106597,10.09634802924708,0.005969291177253086,0.14821089456800618,0.9510408034078781,471.12922861251235,3.9902405441029734,21.660265410203944
9,224258,0.020105213981325993,0.0015580095375448716,0.385386474507041,2.471453905769248,0.0012797759723175985,0.05448635054267852,0.9940782491594503,1521.022559060953,1.0641144198229158,20.475170735716915
10,108145,0.00969543278728295,0.04982800765393591,2.585722872069906,54.17665689583429,0.025216144990521983,0.2852836469554764,0.9746174118082205,17947.162548835895,1.5351785130313331,21.69400034245528
11,72137,0.006467237828621112,0.007714625924497291,0.6948999819787349,14.220911737388578,0.006030192550286261,0.12118607649333907,0.9610324798647019,442.3139707799517,2.4718012419663005,20.67026206528497
